# t_g (s)  sig_t_g (s)  t_E (s)  sig_t_E (s)  N
  17.490   0.182        9.1810   0.062        5
  52.182   0.338        22.436   0.289        4
  12.875   0.139        30.967   0.423        5
  12.995   0.102        29.823   0.505        5
  7.260    0.043        9.454    0.076        21
  5.554    0.022        4.148    0.018        8
  17.446   0.094        23.698   0.212        9
  7.6020   0.045        28.967   0.493        8
  12.229   0.081        7.269    0.030        11
  7.252    0.103        11.285   0.210        9
  17.095   0.127        7.198    0.067        4
  34.503   0.514        15.170   0.133        5
  45.775   0.330        28.977   0.332        7
  46.392   0.463        26.561   0.215        8
  47.318   0.570        10.375   0.054        11
  2.939    0.027        10.588   0.200        4
  10.481   0.099        6.675    0.041        8
  11.695   0.099        14.269   0.081        9
  50.816   1.697        24.748   0.184        5
  51.498   0.808        23.838   0.194        5
  7.251    0.035        4.848    0.050        13
  15.073   0.111        8.753    0.047        11
  28.796   0.445        18.803   0.374        3
  30.198   0.318        88.926   1.512        9
  12.453   0.072        36.984   0.781        11
