# i_E (A)  B (T)     R (m)      sig_R (m)
  1.00     0.00644   0.010410   0.0037940
  1.25     0.00780   0.009337   0.0096170
  1.50     0.00900   0.007841   0.0046620
  1.75     0.01015   0.006840   0.0022820
  2.00     0.01136   0.005694   0.0016780
  2.25     0.01247   0.005561   0.0006060
  2.50     0.01360   0.004643   0.0004106
  2.75     0.01470   0.003706   0.0004835
  3.00     0.01586   0.003638   0.0003821
  3.25     0.01700   0.003069   0.0006456
  3.50     0.01815   0.002887   0.0006632
  3.75     0.01929   0.002661   0.0007060
  4.00     0.02041   0.002844   0.0005275
